UserId,HackathonExperience,CodingExperience,CommunicationExperience,OrganizationExperience,DocumentationExperience,BusinessExperience,CreativityExperience
1,4,3,1,3,1,1,2
2,4,0,1,1,1,1,1
3,4,2,2,2,2,1,2
4,3,1,3,2,1,2,1
5,3,2,1,2,3,1,0
6,5,3,0,4,4,2,0
7,5,4,0,1,1,0,1
8,5,3,2,1,1,0,1
9,1,3,2,2,2,1,0
10,4,3,1,2,0,1,1
11,0,4,1,2,4,1,2
12,1,5,2,2,1,2,1
13,0,5,0,2,2,1,1
14,0,3,3,2,4,1,1
15,1,5,1,1,2,2,1
16,4,4,2,1,5,1,4
17,1,3,1,3,2,2,2
18,1,5,2,1,1,0,5
19,1,3,2,0,2,2,1
20,1,4,1,2,4,1,1
21,1,2,4,1,2,1,2
22,1,3,5,3,2,2,0
23,0,2,4,2,0,1,0
24,1,4,4,3,1,0,0
25,0,2,5,1,1,1,0
26,2,3,3,2,1,1,1
27,3,2,3,1,1,2,0
28,0,3,4,4,1,1,0
29,2,3,1,2,1,2,0
30,0,3,2,2,2,0,1
31,3,5,1,5,1,1,0
32,1,0,1,4,3,2,1
33,2,4,2,3,1,2,0
34,1,1,1,3,0,2,0
35,1,3,1,4,2,1,2
36,2,2,1,5,1,1,2
37,0,2,1,5,1,0,0
38,0,1,0,3,2,2,1
39,2,4,1,4,5,0,0
40,2,4,0,2,2,1,0
41,2,1,1,2,2,1,0
42,0,4,2,2,4,2,0
43,1,4,2,2,2,2,1
44,2,2,3,2,2,1,2
45,0,3,0,2,2,1,2
46,2,4,1,1,2,1,1
47,2,4,3,2,2,2,1
48,2,3,2,1,2,0,2
49,1,4,1,2,1,2,1
50,2,2,2,1,0,1,2
51,1,4,0,1,2,3,1
52,1,3,1,2,0,3,3
53,2,3,2,3,1,3,0
54,1,4,2,2,2,4,0
55,0,3,2,1,2,4,1
56,0,4,2,2,3,4,0
57,0,2,1,0,3,5,0
58,0,4,1,1,1,5,0
59,0,3,3,1,2,1,0
60,0,4,2,1,0,1,2
61,1,4,1,2,2,0,3
62,2,4,2,4,1,2,4
63,1,3,2,2,1,1,0
64,2,3,1,3,0,0,1
65,1,4,1,2,0,2,2
66,1,4,2,1,1,1,3
67,1,3,1,1,2,1,0
68,0,2,2,0,3,0,0
69,2,2,1,1,2,2,1
70,1,2,2,2,2,2,2
